Model,MDO3014
Firmware Version,1.30

Waveform Type,ANALOG,,,,,Waveform Type,DIGITAL
Point Format,Y,,,,,Point Format,Y
Horizontal Units,s,,,,,Horizontal Units,s
Horizontal Scale,4e-07,,,,,Horizontal Scale,4e-07
Horizontal Delay,4.28e-07,,,,,,
Sample Interval,4e-10,,,,,Sample Interval,2e-09
Record Length,10000,,,,,Record Length,2000
Gating,0.0% to 100.0%,,,,,Gating,0.1% to 100.0%
Probe Attenuation,10,10,1000,1,,,
Vertical Units,V,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,0,,Threshold Used,3.04
Vertical Scale,100,2,2000,1,,,
Vertical Position,-0.06,-3.32,-2.38,-4.08,,,
,,,,,,,
,,,,,,,
,,,,,,,
Label,di/dt,Current,MCP,Trigger,,Label,
TIME,CH1,CH2,CH3,CH4,,TIME,D0
-1.5156e-06,2,0.08,120,-0.04,,-1.290e-06,0
-1.5152e-06,-2,8.88178e-16,-40,0,,-1.288e-06,0
-1.5148e-06,2,8.88178e-16,40,0,,-1.286e-06,0
-1.5144e-06,-2,8.88178e-16,40,-0.04,,-1.284e-06,0
-1.5140e-06,2,8.88178e-16,40,0,,-1.282e-06,0
-1.5136e-06,-2,8.88178e-16,120,-0.04,,-1.280e-06,0
-1.5132e-06,-2,8.88178e-16,40,-0.04,,-1.278e-06,0
-1.5128e-06,-2,-0.08,40,0,,-1.276e-06,0
-1.5124e-06,-2,8.88178e-16,120,0,,-1.274e-06,0
-1.5120e-06,2,8.88178e-16,120,0,,-1.272e-06,0
-1.5116e-06,2,8.88178e-16,40,0,,-1.270e-06,0
-1.5112e-06,-2,8.88178e-16,-40,0,,-1.268e-06,0
-1.5108e-06,-6,8.88178e-16,-40,0,,-1.266e-06,0
-1.5104e-06,2,-0.08,-40,0,,-1.264e-06,0
-1.5100e-06,-2,8.88178e-16,40,-0.04,,-1.262e-06,0
-1.5096e-06,2,8.88178e-16,120,0,,-1.260e-06,0
-1.5092e-06,-2,-0.08,120,-0.08,,-1.258e-06,0
-1.5088e-06,2,0.08,40,-0.04,,-1.256e-06,0
-1.5084e-06,-2,-0.08,120,-0.04,,-1.254e-06,0
-1.5080e-06,-2,8.88178e-16,-40,-0.08,,-1.252e-06,0
-1.5076e-06,2,8.88178e-16,40,-0.04,,-1.250e-06,0
-1.5072e-06,2,8.88178e-16,40,0,,-1.248e-06,0
-1.5068e-06,2,-0.08,-40,0,,-1.246e-06,0
-1.5064e-06,2,-0.08,-40,0,,-1.244e-06,0
-1.5060e-06,2,-0.08,-40,-0.04,,-1.242e-06,0
-1.5056e-06,2,8.88178e-16,40,-0.04,,-1.240e-06,0
-1.5052e-06,2,8.88178e-16,40,-0.04,,-1.238e-06,0
-1.5048e-06,2,8.88178e-16,120,0,,-1.236e-06,0
-1.5044e-06,2,-0.08,-40,0.04,,-1.234e-06,0
-1.5040e-06,-2,8.88178e-16,40,0,,-1.232e-06,0
-1.5036e-06,-2,8.88178e-16,-40,0,,-1.230e-06,0
-1.5032e-06,2,8.88178e-16,40,0,,-1.228e-06,0
-1.5028e-06,2,8.88178e-16,40,0,,-1.226e-06,0
-1.5024e-06,2,0.08,40,0,,-1.224e-06,0
-1.5020e-06,-2,8.88178e-16,40,0,,-1.222e-06,0
-1.5016e-06,2,0.08,40,0,,-1.220e-06,0
-1.5012e-06,-2,-0.08,40,-0.04,,-1.218e-06,0
-1.5008e-06,-6,8.88178e-16,40,-0.04,,-1.216e-06,0
-1.5004e-06,2,8.88178e-16,40,-0.04,,-1.214e-06,0
-1.5000e-06,2,8.88178e-16,40,0,,-1.212e-06,0
-1.4996e-06,2,8.88178e-16,-120,0,,-1.210e-06,0
-1.4992e-06,2,8.88178e-16,-40,-0.04,,-1.208e-06,0
-1.4988e-06,-2,8.88178e-16,40,0,,-1.206e-06,0
-1.4984e-06,-6,8.88178e-16,-40,0,,-1.204e-06,0
-1.4980e-06,-2,-0.08,-40,0,,-1.202e-06,0
-1.4976e-06,2,8.88178e-16,-40,-0.04,,-1.200e-06,0
-1.4972e-06,-2,8.88178e-16,40,-0.04,,-1.198e-06,0
-1.4968e-06,2,8.88178e-16,40,0,,-1.196e-06,0
-1.4964e-06,2,-0.16,-40,-0.04,,-1.194e-06,0
-1.4960e-06,2,8.88178e-16,40,-0.04,,-1.192e-06,0
-1.4956e-06,2,8.88178e-16,40,-0.08,,-1.190e-06,0
-1.4952e-06,2,8.88178e-16,120,0.04,,-1.188e-06,0
-1.4948e-06,2,8.88178e-16,40,0,,-1.186e-06,0
-1.4944e-06,2,8.88178e-16,-40,0,,-1.184e-06,0
-1.4940e-06,2,0.08,40,-0.04,,-1.182e-06,0
-1.4936e-06,2,8.88178e-16,40,-0.08,,-1.180e-06,0
-1.4932e-06,2,8.88178e-16,-40,-0.04,,-1.178e-06,0
-1.4928e-06,-2,-0.08,40,0,,-1.176e-06,0
-1.4924e-06,-2,-0.08,40,0,,-1.174e-06,0
-1.4920e-06,-2,8.88178e-16,40,-0.04,,-1.172e-06,0
-1.4916e-06,2,0.08,40,-0.04,,-1.170e-06,0
-1.4912e-06,-2,-0.08,40,0,,-1.168e-06,0
-1.4908e-06,2,0.08,40,-0.04,,-1.166e-06,0
-1.4904e-06,-2,8.88178e-16,40,-0.04,,-1.164e-06,0
-1.4900e-06,-2,-0.08,40,-0.04,,-1.162e-06,0
-1.4896e-06,2,-0.08,120,0,,-1.160e-06,0
-1.4892e-06,2,-0.08,120,0,,-1.158e-06,0
