lambda_nm,intensity
6.195675659179687500e+02,6.656664423644542694e-03
6.193438720703125000e+02,6.565697956830263138e-03
6.191201782226562500e+02,6.579319480806589127e-03
6.188964843750000000e+02,6.908406503498554230e-03
6.186727905273437500e+02,8.365302346646785736e-03
6.184490966796875000e+02,8.087736554443836212e-03
6.182254638671875000e+02,7.125095464289188385e-03
6.180017700195312500e+02,7.970937527716159821e-03
6.177780761718750000e+02,7.149304728955030441e-03
6.175543823242187500e+02,5.860655102878808975e-03
6.173306884765625000e+02,7.091448176652193069e-03
6.171069946289062500e+02,8.710745722055435181e-03
6.168833007812500000e+02,9.195916354656219482e-03
6.166596679687500000e+02,9.149507619440555573e-03
6.164359741210937500e+02,8.999362587928771973e-03
6.162122802734375000e+02,8.841782808303833008e-03
6.159885864257812500e+02,8.758087642490863800e-03
6.157648925781250000e+02,8.858285844326019287e-03
6.155411987304687500e+02,7.852238602936267853e-03
6.153175048828125000e+02,6.549450568854808807e-03
6.150938720703125000e+02,5.944006610661745071e-03
6.148701782226562500e+02,5.944336298853158951e-03
6.146464843750000000e+02,7.566617336124181747e-03
6.144227905273437500e+02,8.128017187118530273e-03
6.141990966796875000e+02,6.330938544124364853e-03
6.139754028320312500e+02,6.027316208928823471e-03
6.137517089843750000e+02,7.601804099977016449e-03
6.135280151367187500e+02,8.005782030522823334e-03
6.133043823242187500e+02,7.961806841194629669e-03
6.130806884765625000e+02,8.473823778331279755e-03
6.128569946289062500e+02,8.426291868090629578e-03
6.126333007812500000e+02,8.357056416571140289e-03
6.124096069335937500e+02,8.783552795648574829e-03
6.121859130859375000e+02,8.976584300398826599e-03
6.119622192382812500e+02,9.065200574696063995e-03
6.117385864257812500e+02,8.809339255094528198e-03
6.115148925781250000e+02,7.159722503274679184e-03
6.112911987304687500e+02,6.009723059833049774e-03
6.110675048828125000e+02,6.930102594196796417e-03
6.108438110351562500e+02,7.694366853684186935e-03
6.106201171875000000e+02,7.966552861034870148e-03
6.103964233398437500e+02,8.607696741819381714e-03
6.101727905273437500e+02,8.941925130784511566e-03
6.099490966796875000e+02,8.941925130784511566e-03
6.097254028320312500e+02,8.941925130784511566e-03
6.095017089843750000e+02,8.177096955478191376e-03
6.092780151367187500e+02,7.517804391682147980e-03
6.090543212890625000e+02,8.650291711091995239e-03
6.088306884765625000e+02,9.613821282982826233e-03
6.086069946289062500e+02,9.296175092458724976e-03
6.083833007812500000e+02,9.032628498971462250e-03
6.081596069335937500e+02,8.909903466701507568e-03
6.079359130859375000e+02,8.810633793473243713e-03
6.077122192382812500e+02,8.516947738826274872e-03
6.074885253906250000e+02,8.270028047263622284e-03
6.072648925781250000e+02,8.638527244329452515e-03
6.070411987304687500e+02,8.941925130784511566e-03
6.068175048828125000e+02,9.013071656227111816e-03
6.065938110351562500e+02,9.067336097359657288e-03
6.063701171875000000e+02,8.680521510541439056e-03
6.061464233398437500e+02,8.460523560643196106e-03
6.059227294921875000e+02,9.147599339485168457e-03
6.056990966796875000e+02,9.330273605883121490e-03
6.054754028320312500e+02,8.727785199880599976e-03
6.052517089843750000e+02,7.500817999243736267e-03
6.050280151367187500e+02,6.790760904550552368e-03
6.048043212890625000e+02,7.806210312992334366e-03
6.045806274414062500e+02,7.315726019442081451e-03
6.043569335937500000e+02,6.518173497170209885e-03
6.041333007812500000e+02,6.769824307411909103e-03
6.039096069335937500e+02,7.033057510852813721e-03
6.036859130859375000e+02,8.069390431046485901e-03
6.034622192382812500e+02,8.757916279137134552e-03
6.032385253906250000e+02,8.752945810556411743e-03
6.030148315429687500e+02,8.929410949349403381e-03
6.027911376953125000e+02,7.848019711673259735e-03
6.025675048828125000e+02,6.867326796054840088e-03
6.023438110351562500e+02,8.115557953715324402e-03
6.021201171875000000e+02,9.098230861127376556e-03
6.018964233398437500e+02,8.721119724214076996e-03
6.016727294921875000e+02,8.339365944266319275e-03
6.014490356445312500e+02,8.648579008877277374e-03
6.012253417968750000e+02,9.071642532944679260e-03
6.010017089843750000e+02,9.170106612145900726e-03
6.007780151367187500e+02,8.845780044794082642e-03
6.005543212890625000e+02,8.609049022197723389e-03
6.003306274414062500e+02,8.565172553062438965e-03
6.001069335937500000e+02,8.514806628227233887e-03
5.998832397460937500e+02,8.753770031034946442e-03
5.996595458984375000e+02,8.997129276394844055e-03
5.994359130859375000e+02,9.035975672304630280e-03
5.992122192382812500e+02,8.980825543403625488e-03
5.989885253906250000e+02,9.022478945553302765e-03
5.987648315429687500e+02,9.463058784604072571e-03
5.985411376953125000e+02,8.380785584449768066e-03
5.983174438476562500e+02,6.917465012520551682e-03
5.980937500000000000e+02,7.790619507431983948e-03
5.978701171875000000e+02,7.392442785203456879e-03
5.976464233398437500e+02,6.648819893598556519e-03
5.974227294921875000e+02,7.389104925096035004e-03
5.971990356445312500e+02,7.694178726524114609e-03
5.969753417968750000e+02,8.376573212444782257e-03
5.967516479492187500e+02,8.941925130784511566e-03
5.965280151367187500e+02,9.328980930149555206e-03
5.963043212890625000e+02,8.290668949484825134e-03
5.960806274414062500e+02,6.577858235687017441e-03
5.958569335937500000e+02,7.335476577281951904e-03
5.956332397460937500e+02,8.658630773425102234e-03
5.954095458984375000e+02,8.941925130784511566e-03
5.951858520507812500e+02,8.897258900105953217e-03
5.949621582031250000e+02,8.867475204169750214e-03
5.947385253906250000e+02,8.955632336437702179e-03
5.945148315429687500e+02,9.014414623379707336e-03
5.942911376953125000e+02,7.644857745617628098e-03
5.940674438476562500e+02,6.375521421432495117e-03
5.938437500000000000e+02,7.773236371576786041e-03
5.936200561523437500e+02,9.223530068993568420e-03
5.933964233398437500e+02,9.152540005743503571e-03
5.931727294921875000e+02,7.616565097123384476e-03
5.929490356445312500e+02,6.318194326013326645e-03
5.927253417968750000e+02,7.451077923178672791e-03
5.925016479492187500e+02,8.797424845397472382e-03
5.922779541015625000e+02,7.664053700864315033e-03
5.920542602539062500e+02,6.644577719271183014e-03
5.918305664062500000e+02,7.603062316775321960e-03
5.916069335937500000e+02,7.815299555659294128e-03
5.913832397460937500e+02,7.762965280562639236e-03
5.911595458984375000e+02,7.090441882610321045e-03
5.909358520507812500e+02,6.712580099701881409e-03
5.907121582031250000e+02,8.234538137912750244e-03
5.904884643554687500e+02,9.106378071010112762e-03
5.902648315429687500e+02,8.346032351255416870e-03
5.900411376953125000e+02,7.806691806763410568e-03
5.898174438476562500e+02,8.475681766867637634e-03
5.895937500000000000e+02,8.941925130784511566e-03
5.893700561523437500e+02,8.542278781533241272e-03
5.891463623046875000e+02,8.270023390650749207e-03
5.889226684570312500e+02,8.240850642323493958e-03
5.886990356445312500e+02,8.223014883697032928e-03
5.884753417968750000e+02,8.932216092944145203e-03
5.882516479492187500e+02,9.334290400147438049e-03
5.880279541015625000e+02,8.036445826292037964e-03
5.878042602539062500e+02,6.481465417891740799e-03
5.875805664062500000e+02,6.293908227235078812e-03
5.873568725585937500e+02,7.980155758559703827e-03
5.871331787109375000e+02,9.200190193951129913e-03
5.869095458984375000e+02,9.219871833920478821e-03
5.866858520507812500e+02,8.599908091127872467e-03
5.864621582031250000e+02,8.518405258655548096e-03
5.862384643554687500e+02,8.551529608666896820e-03
5.860147705078125000e+02,8.346349000930786133e-03
5.857910766601562500e+02,9.081961587071418762e-03
5.855674438476562500e+02,9.613825008273124695e-03
5.853437500000000000e+02,9.613825008273124695e-03
5.851200561523437500e+02,9.548748843371868134e-03
5.848963623046875000e+02,9.104182943701744080e-03
5.846726684570312500e+02,8.904244750738143921e-03
5.844489746093750000e+02,8.941925130784511566e-03
5.842252807617187500e+02,9.010441601276397705e-03
5.840015869140625000e+02,9.052312932908535004e-03
5.837779541015625000e+02,8.866122923791408539e-03
5.835542602539062500e+02,8.747411891818046570e-03
5.833305664062500000e+02,8.865332230925559998e-03
5.831068725585937500e+02,8.941925130784511566e-03
5.828831787109375000e+02,8.874273858964443207e-03
5.826594848632812500e+02,9.060756303369998932e-03
5.824358520507812500e+02,7.732097990810871124e-03
5.822121582031250000e+02,6.554467603564262390e-03
5.819884643554687500e+02,6.638270337134599686e-03
5.817647705078125000e+02,6.849401630461215973e-03
5.815410766601562500e+02,7.617702241986989975e-03
5.813173828125000000e+02,8.036090992391109467e-03
5.810936889648437500e+02,8.465381339192390442e-03
5.808699951171875000e+02,8.743418380618095398e-03
5.806463623046875000e+02,8.865118026733398438e-03
5.804226684570312500e+02,8.948688395321369171e-03
5.801989746093750000e+02,8.951692841947078705e-03
5.799752807617187500e+02,8.945172652602195740e-03
5.797515869140625000e+02,8.818619884550571442e-03
5.795278930664062500e+02,9.158454835414886475e-03
5.793042602539062500e+02,9.536932222545146942e-03
5.790805664062500000e+02,9.199080988764762878e-03
5.788568725585937500e+02,9.213322773575782776e-03
5.786331787109375000e+02,1.159019861370325089e-02
5.784094848632812500e+02,1.223606616258621216e-02
5.781857910156250000e+02,1.101366151124238968e-02
5.779621582031250000e+02,1.271734293550252914e-02
5.777384033203125000e+02,1.585971005260944366e-02
5.775147705078125000e+02,1.698841527104377747e-02
5.772910766601562500e+02,1.656804792582988739e-02
5.770673828125000000e+02,1.652432233095169067e-02
5.768436889648437500e+02,1.664401590824127197e-02
5.766199951171875000e+02,1.651937328279018402e-02
5.763963012695312500e+02,1.644988916814327240e-02
5.761726684570312500e+02,1.655766554176807404e-02
5.759489746093750000e+02,1.662033423781394958e-02
5.757252807617187500e+02,1.670445874333381653e-02
5.755015869140625000e+02,1.675444655120372772e-02
5.752778930664062500e+02,1.687496155500411987e-02
5.750541992187500000e+02,1.689067482948303223e-02
5.748305053710937500e+02,1.686413772404193878e-02
5.746068725585937500e+02,1.592202857136726379e-02
