lambda_nm,intensity
6.806657714843750000e+02,4.482743889093399048e-02
6.809155273437500000e+02,4.337045177817344666e-02
6.811652832031250000e+02,4.318592324852943420e-02
6.814149780273437500e+02,4.265876486897468567e-02
6.816646728515625000e+02,4.252994433045387268e-02
6.819144287109375000e+02,3.988831117749214172e-02
6.821641845703125000e+02,3.639519959688186646e-02
6.824138793945312500e+02,3.492774069309234619e-02
6.826635742187500000e+02,3.493768349289894104e-02
6.829133300781250000e+02,3.430411964654922485e-02
6.831630859375000000e+02,3.398649021983146667e-02
6.834127807617187500e+02,3.228499740362167358e-02
6.836624755859375000e+02,3.117691911756992340e-02
6.839122314453125000e+02,3.203706815838813782e-02
6.841619873046875000e+02,3.244694322347640991e-02
6.844116821289062500e+02,3.100175037980079651e-02
6.846613769531250000e+02,3.043439984321594238e-02
6.849111328125000000e+02,3.208778426051139832e-02
6.851608886718750000e+02,3.288494050502777100e-02
6.854105834960937500e+02,3.272747993469238281e-02
6.856602783203125000e+02,3.356415778398513794e-02
6.859100341796875000e+02,3.473563119769096375e-02
6.861597900390625000e+02,3.389614447951316833e-02
6.864094848632812500e+02,3.203070908784866333e-02
6.866592407226562500e+02,3.143504261970520020e-02
6.869089355468750000e+02,3.103161975741386414e-02
6.871586914062500000e+02,3.130489587783813477e-02
6.874084472656250000e+02,3.139406442642211914e-02
6.876581420898437500e+02,3.132141008973121643e-02
6.879078369140625000e+02,3.236009925603866577e-02
6.881575927734375000e+02,3.330035507678985596e-02
6.884073486328125000e+02,3.367518261075019836e-02
6.886570434570312500e+02,3.319252282381057739e-02
6.889067382812500000e+02,3.195627033710479736e-02
6.891564941406250000e+02,3.223584219813346863e-02
6.894062500000000000e+02,3.313222900032997131e-02
6.896559448242187500e+02,3.355915844440460205e-02
6.899056396484375000e+02,3.462712839245796204e-02
6.901553955078125000e+02,3.642200306057929993e-02
6.904051513671875000e+02,3.661908581852912903e-02
6.906548461914062500e+02,3.594081103801727295e-02
6.909045410156250000e+02,3.901325911283493042e-02
6.911542968750000000e+02,4.295536130666732788e-02
6.914040527343750000e+02,5.031696707010269165e-02
6.916537475585937500e+02,5.822545662522315979e-02
6.919034423828125000e+02,7.226730883121490479e-02
6.921531982421875000e+02,8.568371832370758057e-02
6.924029541015625000e+02,1.045373752713203430e-01
6.926526489257812500e+02,1.340317130088806152e-01
6.929024047851562500e+02,2.108308225870132446e-01
6.931520996093750000e+02,3.727652132511138916e-01
6.934018554687500000e+02,5.733793377876281738e-01
6.936515502929687500e+02,7.694673538208007812e-01
6.939013061523437500e+02,8.942463397979736328e-01
6.941510009765625000e+02,9.241166114807128906e-01
6.944007568359375000e+02,8.553442358970642090e-01
6.946505126953125000e+02,6.349706053733825684e-01
6.949002075195312500e+02,4.013348221778869629e-01
6.951499023437500000e+02,2.597327232360839844e-01
6.953996582031250000e+02,1.602308601140975952e-01
6.956494140625000000e+02,1.045301929116249084e-01
6.958991088867187500e+02,7.623679935932159424e-02
6.961488037109375000e+02,5.940765887498855591e-02
6.963985595703125000e+02,4.887281358242034912e-02
6.966483154296875000e+02,4.268762841820716858e-02
6.968980102539062500e+02,3.754266351461410522e-02
6.971477050781250000e+02,3.322245553135871887e-02
6.973974609375000000e+02,3.065064176917076111e-02
6.976472167968750000e+02,3.094650432467460632e-02
6.978969116210937500e+02,3.121735900640487671e-02
6.981466064453125000e+02,2.861747704446315765e-02
6.983963623046875000e+02,2.627473324537277222e-02
6.986461181640625000e+02,2.566661685705184937e-02
6.988958129882812500e+02,2.564461715519428253e-02
6.991455078125000000e+02,2.559105493128299713e-02
6.993952636718750000e+02,2.473593875765800476e-02
6.996450195312500000e+02,2.437073364853858948e-02
6.998947143554687500e+02,2.536393702030181885e-02
7.001444702148437500e+02,2.574669755995273590e-02
7.003941650390625000e+02,2.682181075215339661e-02
7.006439208984375000e+02,2.800576947629451752e-02
7.008936767578125000e+02,3.286818414926528931e-02
7.011433715820312500e+02,3.705970197916030884e-02
7.013930664062500000e+02,4.496817290782928467e-02
7.016428222656250000e+02,5.446370318531990051e-02
7.018925781250000000e+02,9.978476166725158691e-02
7.021422729492187500e+02,1.574404388666152954e-01
7.023919677734375000e+02,2.124480456113815308e-01
7.026417236328125000e+02,3.033484220504760742e-01
7.028914794921875000e+02,3.722232878208160400e-01
7.031411743164062500e+02,3.490932583808898926e-01
7.033908691406250000e+02,2.692019939422607422e-01
7.036406250000000000e+02,1.883778870105743408e-01
7.038903808593750000e+02,1.116883605718612671e-01
7.041400756835937500e+02,6.616000086069107056e-02
7.043897705078125000e+02,4.396279156208038330e-02
7.046395263671875000e+02,3.217419609427452087e-02
