lambda_nm,intensity
6.190070190429687500e+02,1.057270169258117676e-02
6.187832641601562500e+02,1.127989590167999268e-02
6.185595092773437500e+02,1.138078607618808746e-02
6.183357543945312500e+02,1.199667155742645264e-02
6.181119995117187500e+02,1.305635739117860794e-02
6.178882446289062500e+02,1.178113557398319244e-02
6.176644897460937500e+02,1.192878466099500656e-02
6.174407348632812500e+02,1.393606420606374741e-02
6.172169799804687500e+02,1.330985873937606812e-02
6.169932250976562500e+02,1.162258442491292953e-02
6.167694702148437500e+02,1.276488788425922394e-02
6.165457153320312500e+02,1.272877026349306107e-02
6.163219604492187500e+02,1.165058650076389313e-02
6.160982055664062500e+02,1.206835731863975525e-02
6.158744506835937500e+02,1.031124684959650040e-02
6.156506958007812500e+02,9.706911630928516388e-03
6.154269409179687500e+02,1.159026008099317551e-02
6.152031860351562500e+02,1.304067764431238174e-02
6.149794311523437500e+02,1.222679950296878815e-02
6.147556762695312500e+02,1.107394974678754807e-02
6.145319213867187500e+02,9.402714669704437256e-03
6.143081665039062500e+02,1.006354112178087234e-02
6.140844116210937500e+02,1.231511775404214859e-02
6.138606567382812500e+02,1.152226328849792480e-02
6.136369018554687500e+02,1.156566478312015533e-02
6.134131469726562500e+02,1.158386375755071640e-02
6.131893920898437500e+02,1.190348342061042786e-02
6.129655761718750000e+02,1.293590012937784195e-02
6.127418212890625000e+02,1.155540347099304199e-02
6.125181274414062500e+02,1.142798177897930145e-02
6.122943115234375000e+02,1.207708474248647690e-02
6.120705566406250000e+02,1.102407183498144150e-02
6.118468017578125000e+02,1.146417297422885895e-02
6.116230468750000000e+02,1.256918068975210190e-02
6.113992919921875000e+02,1.287494413554668427e-02
6.111755371093750000e+02,1.301841530948877335e-02
6.109517822265625000e+02,1.284117437899112701e-02
6.107280273437500000e+02,1.283522974699735641e-02
6.105042724609375000e+02,1.268313638865947723e-02
6.102805175781250000e+02,1.218540873378515244e-02
6.100567626953125000e+02,1.248197723180055618e-02
6.098330078125000000e+02,1.237372029572725296e-02
6.096092529296875000e+02,1.173029746860265732e-02
6.093854980468750000e+02,1.158774085342884064e-02
6.091617431640625000e+02,1.168864872306585312e-02
6.089379882812500000e+02,1.280302368104457855e-02
6.087142333984375000e+02,1.171010639518499374e-02
6.084904785156250000e+02,1.183012872934341431e-02
6.082667236328125000e+02,1.284506265074014664e-02
6.080429687500000000e+02,1.403416227549314499e-02
6.078192138671875000e+02,1.410681381821632385e-02
6.075954589843750000e+02,1.289792265743017197e-02
6.073717041015625000e+02,1.293507684022188187e-02
6.071479492187500000e+02,1.340558845549821854e-02
6.069241943359375000e+02,1.336597837507724762e-02
6.067004394531250000e+02,1.289157196879386902e-02
6.064766845703125000e+02,1.295068766921758652e-02
6.062529296875000000e+02,1.230433862656354904e-02
6.060291748046875000e+02,1.036401372402906418e-02
6.058054199218750000e+02,9.841758757829666138e-03
6.055816650390625000e+02,1.043814234435558319e-02
6.053579101562500000e+02,1.148340757936239243e-02
6.051341552734375000e+02,1.282438635826110840e-02
6.049104003906250000e+02,1.295418385416269302e-02
6.046866455078125000e+02,1.279487740248441696e-02
6.044628906250000000e+02,1.232235040515661240e-02
6.042391357421875000e+02,1.124039385467767715e-02
6.040153808593750000e+02,1.125524844974279404e-02
6.037916259765625000e+02,1.222559344023466110e-02
6.035678710937500000e+02,1.123177167028188705e-02
6.033441162109375000e+02,1.134608499705791473e-02
6.031203613281250000e+02,1.132545899599790573e-02
6.028966064453125000e+02,1.113837957382202148e-02
6.026728515625000000e+02,1.080797053873538971e-02
6.024490966796875000e+02,1.100538577884435654e-02
6.022253417968750000e+02,1.180333271622657776e-02
6.020015869140625000e+02,1.125427521765232086e-02
6.017778320312500000e+02,1.142339874058961868e-02
6.015540771484375000e+02,1.198909338563680649e-02
6.013303222656250000e+02,1.229545474052429199e-02
6.011065673828125000e+02,1.189673133194446564e-02
6.008828125000000000e+02,1.144707202911376953e-02
6.006590576171875000e+02,1.051795482635498047e-02
6.004353027343750000e+02,1.030780468136072159e-02
6.002115478515625000e+02,1.142044179141521454e-02
5.999877929687500000e+02,1.071717776358127594e-02
5.997640380859375000e+02,1.028239820152521133e-02
5.995402832031250000e+02,1.187434140592813492e-02
5.993165283203125000e+02,1.216225139796733856e-02
5.990927734375000000e+02,1.255707815289497375e-02
5.988690185546875000e+02,1.309716142714023590e-02
5.986452636718750000e+02,1.230834051966667175e-02
5.984215087890625000e+02,1.220474299043416977e-02
5.981977539062500000e+02,1.210736110806465149e-02
5.979739990234375000e+02,1.202533021569252014e-02
5.977502441406250000e+02,1.237423811107873917e-02
5.975264892578125000e+02,1.237489283084869385e-02
5.973027343750000000e+02,1.233116630464792252e-02
5.970789794921875000e+02,1.201437320560216904e-02
5.968551635742187500e+02,1.187408622354269028e-02
5.966314697265625000e+02,1.079105399549007416e-02
5.964077148437500000e+02,1.040998473763465881e-02
5.961838989257812500e+02,1.060957275331020355e-02
5.959602050781250000e+02,1.090764813125133514e-02
5.957363891601562500e+02,1.151193771511316299e-02
5.955126342773437500e+02,1.072711311280727386e-02
5.952889404296875000e+02,1.061143912374973297e-02
5.950651245117187500e+02,1.191618014127016068e-02
5.948413696289062500e+02,1.062376890331506729e-02
5.946176757812500000e+02,9.030384942889213562e-03
5.943938598632812500e+02,8.507066406309604645e-03
5.941701049804687500e+02,1.069217920303344727e-02
5.939463500976562500e+02,1.183416973799467087e-02
5.937225952148437500e+02,1.110014505684375763e-02
5.934989013671875000e+02,1.106439717113971710e-02
5.932750854492187500e+02,1.099788676947355270e-02
5.930513305664062500e+02,1.119229383766651154e-02
5.928275756835937500e+02,1.182570308446884155e-02
5.926038208007812500e+02,1.051223371177911758e-02
5.923800659179687500e+02,1.072324533015489578e-02
5.921563110351562500e+02,1.207881793379783630e-02
5.919325561523437500e+02,1.167925074696540833e-02
5.917088012695312500e+02,1.173239108175039291e-02
5.914850463867187500e+02,1.201536320149898529e-02
5.912612915039062500e+02,1.183616928756237030e-02
5.910375366210937500e+02,1.067702751606702805e-02
5.908137817382812500e+02,1.018553040921688080e-02
5.905900268554687500e+02,1.058646664023399353e-02
5.903662719726562500e+02,1.166659686714410782e-02
5.901425170898437500e+02,1.120317820459604263e-02
5.899187622070312500e+02,1.066324301064014435e-02
5.896950073242187500e+02,8.820618502795696259e-03
5.894712524414062500e+02,9.052112698554992676e-03
5.892474975585937500e+02,9.810682386159896851e-03
5.890237426757812500e+02,8.380075916647911072e-03
5.887999877929687500e+02,8.723250590264797211e-03
5.885762329101562500e+02,9.584452956914901733e-03
5.883524780273437500e+02,1.034786645323038101e-02
5.881287231445312500e+02,1.154217310249805450e-02
5.879049682617187500e+02,1.181118469685316086e-02
5.876812133789062500e+02,1.087392866611480713e-02
5.874574584960937500e+02,1.099957060068845749e-02
5.872337036132812500e+02,1.193570625036954880e-02
5.870099487304687500e+02,1.199100539088249207e-02
5.867861938476562500e+02,1.205597259104251862e-02
5.865624389648437500e+02,1.220243796706199646e-02
5.863386840820312500e+02,1.231249142438173294e-02
5.861149291992187500e+02,1.252925768494606018e-02
5.858911743164062500e+02,1.240429189056158066e-02
5.856674194335937500e+02,1.166759058833122253e-02
5.854436645507812500e+02,1.141117420047521591e-02
5.852199096679687500e+02,1.174610666930675507e-02
5.849961547851562500e+02,1.213258039206266403e-02
5.847723999023437500e+02,1.217363774776458740e-02
5.845486450195312500e+02,1.206205040216445923e-02
5.843248901367187500e+02,1.204807776957750320e-02
5.841011352539062500e+02,1.190371904522180557e-02
5.838773803710937500e+02,1.149336248636245728e-02
5.836536254882812500e+02,1.148057822138071060e-02
5.834298706054687500e+02,1.185856014490127563e-02
5.832061157226562500e+02,1.202869601547718048e-02
5.829823608398437500e+02,1.210907194763422012e-02
5.827586059570312500e+02,1.093345414847135544e-02
